error,cid
L1,30699
L1,30961
L1,31025
L1,31232
L1,31545
L1,32126
L1,32474
L1,33752
L1,33918
L1,34578
L1,35159
L1,35163
L1,35241
L1,35305
L1,35660
L1,35737
L1,35796
L1,36303
L1,36364
L1,36425
L1,36858
L1,36983
L1,37219
L1,38926
L1,39245
L1,39355
L1,39422
L1,39633
L1,39941
L1,40197
L1,40225
L1,40563
L1,40589
L1,41275
L1,41643
L1,41960
L1,42104
L1,42227
L1,42498
L1,42558
L1,42594
L1,43221
L1,43589
L1,44170
L1,44174
L1,44974
L1,45170
L1,45454
L1,45590
L1,45623
L1,46178
L1,46428
L1,46746
L1,47056
L1,47712
L1,49058
L1,49111
L1,49285
L1,49417
L1,49418
L1,49617
L1,49801
L1,49982
L1,50582
L1,50701
L1,51820
L1,52238
L1,52365
L1,52467
L1,52712
L1,52792
L1,52910
L1,54184
L1,54701
L1,54865
L1,55064
L1,55307
L1,55685
L1,55952
L1,56188
L1,56209
L1,56394
L1,56657
L1,56671
L1,56707
L1,56813
L1,57010
L1,57031
L1,57678
L1,58232
L1,59250
L1,59829
L1,60570
L1,60987
L1,61327
L1,61519
L1,61626
L1,61795
L1,61942
L1,61954
L1,62720
L1,62788
L1,62977
L1,63249
L1,67900
L1,68109
L1,68766
L1,68816
L1,69018
L1,69980
L1,70276
L1,70462
L1,70534
L1,70790
L1,71361
L1,71509
L1,71541
L1,71668
L1,72551
L1,72709
L1,73062
L1,73375
L1,74853
L1,75116
L1,75812
L1,76001
L1,76505
L1,76535
L1,76642
L1,77083
L1,77167
L1,77683
L1,77893
L1,77988
L1,78007
L1,78699
L1,78711
L1,79010
L1,79681
L1,80119
L1,80206
L1,80782
L1,80806
L1,80807
L1,81346
L1,81933
L1,82067
L1,82616
L1,82642
L1,82789
L1,82793
L1,82965
L1,83177
L1,83185
L1,83227
L1,83327
L1,83767
L1,83865
L1,84375
L1,84376
L1,84722
L1,84769
L1,85110
L1,85227
L1,85547
L1,88909
L2,30700
L2,31870
L3,30704
L3,30717
L3,30718
L3,30722
L3,30726
L3,30731
L3,30737
L3,30811
L3,30849
L3,30879
L3,30886
L3,30901
L3,30904
L3,30917
L3,30927
L3,30959
L3,30964
L3,30971
L3,31041
L3,31070
L3,31098
L3,31102
L3,31119
L3,31124
L3,31158
L3,31177
L3,31188
L3,31199
L3,31200
L3,31237
L3,31260
L3,31262
L3,31268
L3,31281
L3,31299
L3,31316
L3,31318
L3,31327
L3,31334
L3,31335
L3,31364
L3,31390
L3,31393
L3,31399
L3,31411
L3,31416
L3,31445
L3,31461
L3,31493
L3,31536
L3,31567
L3,31600
L3,31628
L3,31687
L3,31717
L3,31738
L3,31741
L3,31766
L3,31786
L3,31799
L3,31803
L3,31816
L3,31883
L3,31899
L3,31905
L3,31935
L3,32006
L3,32031
L3,32050
L3,32054
L3,32120
L3,32157
L3,32196
L3,32197
L3,32207
L3,32209
L3,32236
L3,32240
L3,32266
L3,32284
L3,32290
L3,32292
L3,32305
L3,32318
L3,32326
L3,32394
L3,32401
L3,32419
L3,32430
L3,32446
L3,32456
L3,32457
L3,32460
L3,32484
L3,32525
L3,32565
L3,32619
L3,32628
L3,32711
L3,32761
L3,32790
L3,32808
L3,32831
L3,32979
L3,33003
L3,33065
L3,33077
L3,33093
L3,33110
L3,33117
L3,33120
L3,33145
L3,33150
L3,33193
L3,33283
L3,33353
L3,33375
L3,33410
L3,33424
L3,33449
L3,33466
L3,33476
L3,33546
L3,33573
L3,33592
L3,33658
L3,33674
L3,33684
L3,33689
L3,33695
L3,33728
L3,33809
L3,33833
L4,30730
L5,30806
L5,31012
L5,31106
L5,31203
L5,31298
L5,31336
L5,31413
L5,31420
L5,31427
L5,31745
L5,31802
L5,31843
L5,31909
L5,31986
L5,32234
L5,32508
L5,32798
L5,33054
L5,33532
L5,33534
L5,33648
L6,30821
L6,31080
L6,31273
L6,31947
L6,32083
L6,32214
L6,32576
L6,32770
L6,33137
L6,34722
L6,35459
L6,35741
L6,35803
L6,36726
L6,36737
L6,37032
L6,37067
L6,37368
L6,37633
L6,38008
L6,38323
L6,38408
L6,38706
L6,38914
L6,39268
L6,40692
L6,40925
L6,40932
L6,41148
L6,41168
L6,41239
L6,41332
L6,41619
L6,41908
L6,42626
L6,43080
L6,43471
L6,43476
L6,44020
L6,44201
L6,44412
L6,44584
L6,44678
L6,45011
L6,45151
L6,45156
L6,45222
L6,45465
L6,45789
L6,46047
L6,46307
L6,46319
L6,46339
L6,46432
L6,46547
L6,46703
L6,47318
L6,47369
L6,47881
L6,47935
L6,48125
L6,48908
L6,49050
L6,49151
L6,49229
L6,49235
L6,49868
L6,50863
L6,50888
L6,50915
L6,51066
L6,51238
L6,51854
L6,51876
L6,52134
L6,52373
L6,52390
L6,52419
L6,52489
L6,52988
L6,53458
L6,53739
L6,53767
L6,54464
L6,54708
L6,55077
L6,55110
L6,55168
L6,55726
L6,56000
L6,56072
L6,56341
L6,56432
L6,56433
L6,56558
L6,56559
L6,57008
L6,57388
L6,57479
L6,57668
L6,57837
L6,57953
L6,58039
L6,58323
L6,58382
L6,58573
L6,58727
L6,58942
L6,59065
L6,59320
L6,59371
L6,59486
L6,59503
L6,59582
L6,59638
L6,59854
L6,59954
L6,60397
L6,60643
L6,60730
L6,60735
L6,60939
L6,61146
L6,61238
L6,61554
L6,61556
L6,61649
L6,61696
L6,61856
L6,61990
L6,62070
L6,62501
L6,62809
L6,63112
L6,63168
L6,63365
L6,63677
L6,63879
L6,63967
L6,64163
L6,64179
L6,64564
L6,64884
L6,65543
L6,65670
L6,65748
L6,66445
L6,66466
L6,66650
L6,66732
L6,66910
L6,66938
L6,66968
L6,67029
L6,67081
L6,67133
L6,67405
L6,67643
L6,67934
L6,68263
L6,68353
L6,68569
L6,68601
L6,68724
L6,68861
L6,69250
L6,69795
L6,69846
L6,70017
L6,70060
L6,70272
L6,70818
L6,71019
L6,71360
L6,71650
L6,71679
L6,71810
L6,72121
L6,72484
L6,72501
L6,72516
L6,73309
L6,73387
L6,73564
L6,74184
L6,74739
L6,74840
L6,75145
L6,75606
L6,75618
L6,75995
L6,76319
L6,76709
L6,76890
L6,77090
L6,77994
L6,78132
L6,78396
L6,78428
L6,78740
L6,78770
L6,78821
L6,78932
L6,79281
L6,79434
L6,79950
L6,79995
L6,80204
L6,80225
L6,80298
L6,80545
L6,80560
L6,80575
L6,80613
L6,80885
L6,80969
L6,81087
L6,81188
L6,81217
L6,81273
L6,81295
L6,81448
L6,81720
L6,81883
L6,81902
L6,82144
L6,82705
L6,82919
L6,83408
L6,83964
L6,84028
L6,84095
L6,84163
L6,84244
L6,84482
L6,84768
L6,84863
L6,85089
L6,85751
L6,85786
L6,85815
L6,85917
L6,86437
L6,86524
L6,86668
L6,86957
L6,87074
L6,87340
L6,87374
L6,87514
L6,87566
L6,87650
L6,88140
L6,88252
L6,88748
L6,89577
L6,89618
L6,89701
L6,89757
L6,90506
L6,90710
L6,90975
L6,91054
L6,91189
L6,91291
L6,91633
L6,91742
L6,91862
L6,92120
L6,92838
L6,93416
L6,93674
L6,93724
L6,93969
L6,94391
L6,94536
L6,94539
L6,95092
L6,95173
L6,95288
L6,95447
L6,95777
L6,95951
L6,96223
L6,96814
L6,96892
L6,96958
L6,97161
L6,97234
L6,97330
L6,97876
L6,98147
L6,98161
L6,98215
L6,98314
L6,98510
L6,98902
L6,98920
L6,99203
L6,99287
L6,99909
L7,30837
L7,36369
L7,37232
L7,44548
L7,45279
L7,45909
L7,48432
L7,54861
L7,55001
L7,58007
L7,58807
L7,60230
L7,64595
L7,64655
L7,66920
L7,70585
L7,71870
L7,71896
L7,73023
L7,75707
L7,76126
L7,76865
L7,77569
L8,30891
L8,32034
L8,33174
L9,30962
L9,32378
L9,32407
L9,32875
L9,33300
L9,33585
L9,33629
L9,35248
L9,35747
L9,38689
L9,39593
L9,40525
L9,41258
L9,42426
L9,43607
L9,44248
L9,44330
L9,44496
L9,44999
L9,45258
L9,45363
L9,46262
L9,48927
L9,50245
L9,50855
L9,51627
L9,52623
L9,54327
L9,55836
L9,59095
L9,60226
L9,62602
L9,63408
L9,64043
L9,64519
L9,67015
L9,71136
L9,72102
L9,72156
L9,72780
L9,77755
L9,77853
L9,77855
L10,30989
L10,31205
L10,31302
L10,31492
L10,31560
L10,31877
L10,32547
L10,32940
L10,33200
L10,33222
L10,34513
L10,35239
L10,35323
L10,35777
L10,36088
L10,36389
L10,36473
L10,36530
L10,36927
L10,37742
L10,38186
L10,38470
L10,39019
L10,39533
L10,39617
L10,39642
L10,39819
L10,40696
L10,40712
L10,41046
L10,42211
L10,42329
L10,42643
L10,42686
L10,43139
L10,43356
L10,43537
L10,43580
L10,43972
L10,43976
L10,44669
L10,45230
L10,45463
L10,45829
L10,47184
L10,47474
L10,47557
L10,48359
L10,48921
L10,48961
L10,50278
L10,50525
L10,50720
L10,51040
L10,51413
L10,51777
L10,51958
L10,52706
L10,52941
L10,53352
L10,53378
L10,53489
L10,53851
L10,54128
L10,54465
L10,54922
L10,55261
L10,55294
L10,56317
L10,56697
L10,56728
L10,56794
L10,57028
L10,57038
L10,57348
L10,57676
L10,57747
L10,58063
L10,58217
L10,58244
L10,58480
L10,58879
L10,59158
L10,59390
L10,59442
L10,59595
L10,59701
L10,59966
L10,60220
L10,60780
L10,60968
L10,61083
L10,61253
L10,62685
L10,62707
L10,62981
L10,63556
L10,64078
L10,65017
L10,65169
L10,66165
L10,66886
L10,68568
L10,68793
L10,68984
L10,69167
L10,69217
L10,69707
L10,69888
L10,72245
L10,72493
L10,72494
L10,72891
L10,73349
L10,73627
L10,73725
L10,74439
L10,74534
L10,74602
L10,75027
L10,75347
L10,75483
L10,75768
L10,77227
L10,77546
L10,77704
L10,78079
L10,78160
L10,79997
L10,83941
L10,84214
L11,31213
L11,33148
L11,45564
L11,45575
L11,48577
L11,50366
L11,64086
L11,65140
L11,67750
